threads_maximo,time
1,1.7834679999999998
2,1.0986525
3,0.9766422
4,0.9753163
5,0.9463923999999999
6,0.9537265500000001
7,1.009699
8,0.9680999
9,0.9730081
10,1.0048574000000001
11,1.0197780999999997
12,1.02546855
13,1.0436301000000001
14,1.0024468500000001
15,1.05557475
16,1.0975751
17,1.11812575
18,1.0649381
19,1.0909126
20,1.090831
21,1.1384520000000002
22,1.1535140000000002
23,1.1278590000000002
24,1.1679465000000002
25,1.1522655
26,1.1805015
27,1.2183624999999998
28,1.2551919999999999
29,1.220449
30,1.252628
